-999 -999 -999     2.97705 -999.00000    2.74284 -999.00000 -999.00000
-999 -999 -999     0.45792 -999.00000    2.81112 -999.00000 -999.00000
-999 -999 -999     1.69216 -999.00000    2.85878 -999.00000 -999.00000
-999 -999 -999    -4.24883 -999.00000    2.83478 -999.00000 -999.00000
-999 -999 -999    -6.73250 -999.00000    2.68512 -999.00000 -999.00000
-999 -999 -999    -5.57215 -999.00000    2.52051 -999.00000 -999.00000
-999 -999 -999     1.38660 -999.00000    2.48379 -999.00000 -999.00000
-999 -999 -999    -0.90358 -999.00000    2.51922 -999.00000 -999.00000
-999 -999 -999    -1.41063 -999.00000    2.51211 -999.00000 -999.00000
-999 -999 -999   -10.53126 -999.00000    2.36067 -999.00000 -999.00000
-999 -999 -999   -11.04904 -999.00000    2.06890 -999.00000 -999.00000
-999 -999 -999    -1.45381 -999.00000    1.92310 -999.00000 -999.00000
-999 -999 -999     3.77378 -999.00000    2.00569 -999.00000 -999.00000
-999 -999 -999     0.33725 -999.00000    2.11354 -999.00000 -999.00000
-999 -999 -999    -0.17439 -999.00000    2.15936 -999.00000 -999.00000
-999 -999 -999     9.57987 -999.00000    2.34385 -999.00000 -999.00000
-999 -999 -999     7.84903 -999.00000    2.64462 -999.00000 -999.00000
-999 -999 -999     5.13891 -999.00000    2.87033 -999.00000 -999.00000
-999 -999 -999     4.32677 -999.00000    3.03698 -999.00000 -999.00000
-999 -999 -999     4.93876 -999.00000    3.19638 -999.00000 -999.00000
-999 -999 -999     0.11814 -999.00000    3.28827 -999.00000 -999.00000
-999 -999 -999    -4.08535 -999.00000    3.24197 -999.00000 -999.00000
-999 -999 -999    -5.63882 -999.00000    3.11074 -999.00000 -999.00000
-999 -999 -999    -4.94256 -999.00000    2.97089 -999.00000 -999.00000
-999 -999 -999     5.13091 -999.00000    2.99803 -999.00000 -999.00000
-999 -999 -999    -2.90640 -999.00000    3.05561 -999.00000 -999.00000
-999 -999 -999     0.20926 -999.00000    3.03780 -999.00000 -999.00000
-999 -999 -999    10.30658 -999.00000    3.22027 -999.00000 -999.00000
-999 -999 -999     2.45632 -999.00000    3.43184 -999.00000 -999.00000
-999 -999 -999    -5.34534 -999.00000    3.40172 -999.00000 -999.00000
-999 -999 -999    -7.69112 -999.00000    3.21989 -999.00000 -999.00000
-999 -999 -999    -6.24461 -999.00000    3.03020 -999.00000 -999.00000
-999 -999 -999     0.76724 -999.00000    2.97399 -999.00000 -999.00000
-999 -999 -999     7.76139 -999.00000    3.13104 -999.00000 -999.00000
-999 -999 -999     7.68899 -999.00000    3.38836 -999.00000 -999.00000
-999 -999 -999     2.45668 -999.00000    3.55866 -999.00000 -999.00000
-999 -999 -999    -1.04514 -999.00000    3.59270 -999.00000 -999.00000
-999 -999 -999    -4.13581 -999.00000    3.52671 -999.00000 -999.00000
-999 -999 -999     1.45460 -999.00000    3.50069 -999.00000 -999.00000
-999 -999 -999     4.46491 -999.00000    3.60548 -999.00000 -999.00000
-999 -999 -999     0.06928 -999.00000    3.68669 -999.00000 -999.00000
-999 -999 -999     4.76952 -999.00000    3.77048 -999.00000 -999.00000
-999 -999 -999     7.87877 -999.00000    3.96994 -999.00000 -999.00000
-999 -999 -999     5.23379 -999.00000    4.17094 -999.00000 -999.00000
-999 -999 -999     2.71451 -999.00000    4.28980 -999.00000 -999.00000
-999 -999 -999     1.80187 -999.00000    4.35363 -999.00000 -999.00000
-999 -999 -999     5.11520 -999.00000    4.45312 -999.00000 -999.00000
-999 -999 -999     0.36819 -999.00000    4.52828 -999.00000 -999.00000
-999 -999 -999    -4.09940 -999.00000    4.45817 -999.00000 -999.00000
-999 -999 -999     3.17529 -999.00000    4.43424 -999.00000 -999.00000
-999 -999 -999     5.63316 -999.00000    4.56208 -999.00000 -999.00000
-999 -999 -999     3.66989 -999.00000    4.69505 -999.00000 -999.00000
-999 -999 -999     8.05119 -999.00000    4.86339 -999.00000 -999.00000
-999 -999 -999     3.99223 -999.00000    5.03370 -999.00000 -999.00000
-999 -999 -999    -0.86881 -999.00000    5.05724 -999.00000 -999.00000
-999 -999 -999    -1.08885 -999.00000    4.99839 -999.00000 -999.00000
-999 -999 -999     1.27718 -999.00000    4.97614 -999.00000 -999.00000
-999 -999 -999    -4.42488 -999.00000    4.90126 -999.00000 -999.00000
-999 -999 -999    -2.45502 -999.00000    4.76957 -999.00000 -999.00000
-999 -999 -999    -1.91853 -999.00000    4.68269 -999.00000 -999.00000
-999 -999 -999    -3.49543 -999.00000    4.58261 -999.00000 -999.00000
-999 -999 -999    -4.46225 -999.00000    4.44643 -999.00000 -999.00000
-999 -999 -999     3.01651 -999.00000    4.41647 -999.00000 -999.00000
-999 -999 -999     8.62973 -999.00000    4.59013 -999.00000 -999.00000
-999 -999 -999     6.23143 -999.00000    4.81081 -999.00000 -999.00000
-999 -999 -999     0.86309 -999.00000    4.90463 -999.00000 -999.00000
-999 -999 -999     2.86067 -999.00000    4.94234 -999.00000 -999.00000
-999 -999 -999     2.36819 -999.00000    5.00303 -999.00000 -999.00000
-999 -999 -999    -0.05183 -999.00000    5.01528 -999.00000 -999.00000
-999 -999 -999     4.30827 -999.00000    5.05828 -999.00000 -999.00000
